portugues,Tupi_Referencia,Tupi_via_Guarani,Tupi_direto
Tomaste poção querendo o aborto de teu filho?,Eremosangu'upe nde membyra akyrara potá?,Mosangape ereîpuru nde membyra kuabe'engagûama resé?,Eremosangu'upe nde membyra akyrara potá?
"Tomaste veneno, querendo abortar teu filho?",Eremosangu'upe nde membyra akyrara potá?,Ereîekuakupe nde membyra kambápe?,Eremosangu'upe nde membyra akyrara potá?
"Falaste duramente a alguém, irritandoo, fazendoo odiar as pessoas?","Erenhe'engaparatãpe abá supé, i moroŷrõmo, i moporoamotare'yma?","Nde remo'emype nde rapixara resé i moŷrõmo, i momara'a?","Erenhe'engaparatãpe abá supé, i moroŷrõmo, i moporoamotare'yma?"
"Falaste duramente a alguém, irritandoo?","Erenhe'engaparatãpe abá supé, i moŷrõmo?",Nde remo'emype nde rapixara resé?,"Erenhe'engaparatãpe abá supé, i moŷrõmo?"
"Dardejaste palavras em teu pai, respondendo ele agressivamente?","Erenhe'engybõpe nde ruba, i îuruobaîtĩamo?","Ereîpynekûápe nde ruba, nde arõana?","Erenhe'engybõpe nde ruba, i îuruobaîtĩamo?"
"Enfeitastete, pintandote, tendo desejos carnais?",Erenhemoatyrõpe eîegûaka nde poropotaramo?,"Erenhemoatyrõpe nde, nde robá, seté amõ resé?",Erenhemoatyrõpe eîegûaka nde poropotaramo?
"Enfeitastete, tendo desejo sensual?",Erenhemoatyrõpe nde poropotaramo?,Ereîaobok serã nde îosuí?,Erenhemoatyrõpe nde poropotaramo?
Tu te entregaste ao imaginar em teu sono que um homem fazia sexo contigo?,Erenhemoaûîépe nde kerype nde resé abá rekó mo'angeme?,Ereîe'aîtápe nde rekó resé abá resé nde resendûara mo'anga?,Erenhemoaûîépe nde kerype nde resé abá rekó mo'angeme?
"Tu tiveste polução, tendo desejos sensuais?",Erenhemoa'ypupukype nde poropotaramo?,"Nde purepukype, eîeapirõmo?",Erenhemoa'ypupukype nde poropotaramo?
Confessastete antes de nascer teu filho?,Erenhemombe'upe nde membykuî îanondé?,Ereîkupeanga'ope nde membykuî îanondé?,Erenhemombe'upe nde membykuî îanondé?
"Tornastete pajé, fazendo sucções?",Erenhemopaîépe eposubana?,Erenhemoa'ypupukype nde poropotaramo?,Erenhemopaîépe eposubana?
Tu te preocupaste com que teus vizinhos ouvissem a missa ao começar ela?,Erenhemosaînanype nde rambyagûá missa iîypyrungápe sendubagûama ri?,Ereîmoîebype nde rapixara missa iîypyrungápe sendubagûama ri?,Erenhemosaînanype nde rambyagûá missa iîypyrungápe sendubagûama ri?
"Tu te preocupaste com que teu filho, os que estão em tua casa, teus vizinhos ouvissem a missa desde o começo dela?","Erenhemosaînanype nde ra'yra, nde roka pora nde rambyagûá missa iî ypyrungápe sendubagûama ri?","Ereîekûáîpe nde membyra, nde roka, nde rapixara missa iî ypyrungápe sendubagûama resé?","Erenhemosaînanype nde ra'yra, nde roka pora nde rambyagûá missa iî ypyrungápe sendubagûama ri?"
"Ficaste impotente diante de tua esposa, detestandoa?","Erenhemote'õ'ape nde remirekó supé, i amotare'yma nhẽ?","Ereîanga'ope nde remirekó supé, saûsupa?","Erenhemote'õ'ape nde remirekó supé, i amotare'yma nhẽ?"
Escondeste alguma coisa que estava na igreja?,Erenhomimype erimba'e Tupãokygûara mba'e amõ?,Ereîmoîekosupe erimba'e Tupãokygûara mba'e?,Erenhomimype erimba'e Tupãokygûara mba'e amõ?
"Passaste as mãos nalguma virilha de mulher, estando enternecido?","Erepo'ẽpe kunhã rapopé amõ pupé, nde akyramo?",Ereîepoeîtykype kunhã akanga resé nde rapopé resé i moapysykápe?,"Erepo'ẽpe kunhã rapopé amõ pupé, nde akyramo?"
Meteste a mão nas partes erógenas de teu próximo?,Erepo'ẽpe nde rapixara rapupé resé?,Ereîkytykype nde rapixara rugûy?,Erepo'ẽpe nde rapixara rapupé resé?
Meteste a mão nas partes erógenas de teu companheiro?,Erepo'ẽpe nde rapixara rapupé resé?,Ereîkytykype nde rapixara rugûy?,Erepo'ẽpe nde rapixara rapupé resé?
"Tocaste nas partes erógenas de uma mulher, atraindote por ela?",Erepokokype kunhã rapupé resé sesé enhemomotá?,Ereî'useîpe kunhã rugûy sesé enhemomotá?,Erepokokype kunhã rapupé resé sesé enhemomotá?
"Tocaste no teu pênis, excitandote?",Erepokokype nde rakûãîa resé enhemoagûyrõmo?,Erepokokype nde rapopé resé i moîáno?,Erepokokype nde rakûãîa resé enhemoagûyrõmo?
"Tocaste nas tuas virilhas, abrindo as pernas, masturbandote?","Erepokokype nde rapopé resé epypekábo, eîeîukábo?","Erepokokype nde rapopé resé i pipekábo, i moîáno?","Erepokokype nde rapopé resé epypekábo, eîeîukábo?"
"Passaste a mão nas tuas pudendas, abrindoas, alargandoas?","Erepokokype nde rapopé resé i pekábo, i pypirá?","Erepokokype nde poesemõ, i moatãmo, i momoranga?","Erepokokype nde rapopé resé i pekábo, i pypirá?"
"Tocaste nas tuas pudendas, abrindolhes a pele?",Erepokokype nde rapopé resé i pipekábo?,Erepokokype nde rapopé resé i pipekábo?,Erepokokype nde rapopé resé i pipekábo?
"Passaste a mão nas tuas pudendas, abrindoas?","Erepokokype nde rapopé resé, i pekábo?",Erepokokype pudinhas ri i mosema?,"Erepokokype nde rapopé resé, i pekábo?"
"Assassinaste gente após acabar a guerra, matando prisioneiros?","Ereporapitipe marana pab'iré, mbiarûera nhẽ îukábo?","Ereporapitipe marana pab'iré, mbiarûera nhẽ îukábo?","Ereporapitipe marana pab'iré, mbiarûera nhẽ îukábo?"
Comeste gente?,Ereporupe?,Ere'upe abá?,Ereporupe?
"Tomaste remédio, não querendo ficar grávida?",Ereposangu'upe nde puru'apotare'ymamo?,Eresugûype nde membypotare'yma resé?,Ereposangu'upe nde puru'apotare'ymamo?
"Tomaste remédio, não querendo ficar grávida?",Ereposangu'upe nde puru'apotare'ymamo?,Eresugûype nde membypotare'yma resé?,Ereposangu'upe nde puru'apotare'ymamo?
Trabalhaste em conjunto por ocasião dos feriados?,Erepotyrõpe 'aretéreme?,Ereporopotarype ko'arapukuî?,Erepotyrõpe 'aretéreme?
"Bateste numa mulher grávida, matando o feto dela? (Isto é, só o feto é que foi morto, não a mãe)","Erepûarype kunhã muru'abora resé, pitanga îukábo i xuí?","Ereîkópe kunhã muru'abora resé, i pitanga îukábo emonã?","Erepûarype kunhã muru'abora resé, pitanga îukábo i xuí?"
Levao completamente,Ererasó nhetekatunhẽpeũî,Aîeakasó,Ererasó nhetekatunhẽpeũî
Estragaste as coisas de teu próximo?,Ererekomemûãpe nde rapixara mba'e?,Nde remitỹmbype nde rapixara mba'e?,Ererekomemûãpe nde rapixara mba'e?
Portastete mal com tua embriaguez?,Ererekómemûãpe nde sabeypora?,Oîmoîebype gûá o emi'urama resé?,Ererekómemûãpe nde sabeypora?
Acreditaste nas mentiras de alguém?,Ererobîápe abá remo'ema?,Ererobîápe abá nde 'îaba?,Ererobîápe abá remo'ema?
Acreditas em falsas oferendas ou em pajelanças?,Ererobîápe îetanonga'uba koîpó karaimonhanga?,Ererobîápe îetanonga'uba koîpó karaimonhanga?,Ererobîápe îetanonga'uba koîpó karaimonhanga?
Acreditas em falsas oferendas?,Ererobîápe îetanonga'uba?,Ererobîápe îetanonga'uba?,Ererobîápe îetanonga'uba?
Acreditas em falsas oferendas?,Ererobîápe îetanonga'uba?,Ererobîápe îetanonga'uba?,Ererobîápe îetanonga'uba?
Acreditas na dança do maracá?,Ererobîápe maraká poraseîa?,Ererobîápe maraká poraseîa?,Ererobîápe maraká poraseîa?
Crês que o pajé ruim é o que tem o dom dos prodígios?,Ererobîápe paîéaíba mosangyîaramo sekó?,Nde'epe abámemûã mba'eeté rerekóbo?,Ererobîápe paîéaíba mosangyîaramo sekó?
Acreditas na dança do Guajupiá?,Ererobîarype Gûaîupîá moraseîa?,Ererobîarype gûaîupîá poraseîa?,Ererobîarype Gûaîupîá moraseîa?
Acreditas nos feitiços do pajé?,Ererobîarype paîé îekaraimonhanga?,Nd'oîerobîaripe abá nhe'engaiba?,Ererobîarype paîé îekaraimonhanga?
Acreditas no pajé ao fingir assassinar as pessoas?,Ererobîarype paîé porapiti mo'anga'uba?,Oroîoysyrung,Ererobîarype paîé porapiti mo'anga'uba?
Entraste com ele em teu aposento?,Ereroîképe nde kotype?,Ererokûérokûerype nde kotype?,Ereroîképe nde kotype?
Dormiste muitas vezes com ódio?,Ererokeretápe îoamotare'yma?,Xe moorykatu îepé,Ererokeretápe îoamotare'yma?
Dormiste com ódio muitas vezes?,Ererokeretápe îoamotare'yma?,Xe moorykatu îepé,Ererokeretápe îoamotare'yma?
Ficaste detendo contigo alguma pessoa?,Ererokûérokûerype abá amõ?,Ereîaratãpe abá amõ?,Ererokûérokûerype abá amõ?
Bateste com um pau na tua esposa!,Ereropûar ybyrá nde remirekó resé!,Ereropûar ybyrá nde remirekó nde akambûera pupé!,Ereropûar ybyrá nde remirekó resé!
Bateste com o pau na tua esposa!,Ereropûar ybyrá nde remirekó resé!,Ereropûar ybyrá nde remirekó resé!,Ereropûar ybyrá nde remirekó resé!
Detestas completamente a confiança dele em si mesmo?,Ereroŷrõmbápe o îoesé i îerobîara?,Erenhemoîtykype nde îoesé i îerobîara?,Ereroŷrõmbápe o îoesé i îerobîara?
Detestas completamente suas obras?,Ereroŷrõmbápe sekó?,Ereîmoîebype sekó?,Ereroŷrõmbápe sekó?
Trouxeste algumas facas de ferro?,Ererupe itá kysé amõ?,Itangapema ri serã ereîaso'i?,Ererupe itá kysé amõ?
Trouxeste tua caixa?,Ererupe nde karamemûã?,Ererokûérokûépe nde kartá?,Ererupe nde karamemûã?
Trouxeste tua caixa?,Ererupe nde karamemûã?,Ererokûérokûépe nde kartá?,Ererupe nde karamemûã?
Trouxeste teu fumo?,Ererupe nde petyma?,Ererokûerype nde sigarra?,Ererupe nde petyma?
Por acaso trouxeste muitas coisas?,Ereruretá serã?,N'ererupe i îoesé?,Ereruretá serã?
"Trouxeste muitas coisas, porventura?",Ereruretá serã?,"Ereruretá, anhangap'ikó?",Ereruretá serã?
Acaso trouxeste muitas coisas?,Ereruretá serã?,Xe agûasá gûitekóbo,Ereruretá serã?
Imitaste os homens maus?,Eresa'angype abámemûã?,Ereîkópe abámemûã îabé?,Eresa'angype abámemûã?
"Quiseste embebedarte outrora, impregnandote de cauim?",Eresabeypópotarype erimba'e kaûĩ pupé enhemomungábo?,Ereî'amĩpe kaûĩ resé enhemoingóbo?,Eresabeypópotarype erimba'e kaûĩ pupé enhemomungábo?
"Ficaste bêbado de cauim, perdendo o juízo?",Eresabeyporype kaûĩ suí 'ara mokanhema?,Ereîapyaípe îeke'a i moîáno?,Eresabeyporype kaûĩ suí 'ara mokanhema?
"Ficaste bêbado de cauim, perdendo o juízo?","Eresabeyporype kaûĩ suí, 'ara mokanhema?",Ereîapyaípe îeke'a i moîáno?,Eresabeyporype kaûĩ suí 'ara mokanhema?
Fizeste incisões em teu filho quando a lua começou a sair?,Eresaírype nde ra'yra îasy semypyreme?,Xe agûyagûy,Eresaírype nde ra'yra îasy semypyreme?
Obedeces a eles quando te fazem viver no vício?,Eresapîápe tekopoxy resé nde moingóreme?,Ereîporakápe víctico nde moingóbo?,Eresapîápe tekopoxy resé nde moingóreme?
"Piscaste para alguma, também?",Eresapumimype amõ supéno?,Ereîapysakákatupe abá nhe'enga abépe?,Eresapumimype amõ supéno?
"Tens compaixão de tua mãe e de teu pai quando eles estão deitados, doentes, sendo responsável por eles?","Eresaûsubápe nde sy nde ruba i mba'easy tume, sesé nde morerekoaramo?","Ereîmborype nde ruba nde sy i atukupébo i mba'easyreme, sesé nde nhemomotaramo?","Eresaûsubápe nde sy nde ruba i mba'easy tume, sesé nde morerekoaramo?"
Compadecestete de tua mãe e de teu pai?,"Eresaûsubápe nde sy, nde ruba?",Ereîmoasype nde ruba nde sy abé?,"Eresaûsubápe nde sy, nde ruba?"
"Tu te compadeceste deles quando eles estavam doentes, tirandolhes fogo?","Eresaûsubarype i mba'easyreme, satáá","Eresaûsubarype i mba'easyreme, tatá pupé i moîáno?","Eresaûsubarype i mba'easyreme, satáá"
"Compadecestete deles por ocasião de sua doença, acendendo seu fogo, alimentandoos, procurandolhes alimento?","Eresaûsubarype i mba'easyreme, satáá, i poîa, i poraká?","Eresaûsubary i mba'easyreme, tatá reropûá, i mbo'ir, i gûabo","Eresaûsubarype i mba'easyreme, satáá, i poîa, i poraká?"
"Compadecestete deles, procurandolhes alimento?",Eresaûsubarype i poraká?,Eresaûsubarype i poraká?,Eresaûsubarype i poraká?
"Urdiste mentiras contra alguém, envergonhandoo, fazendoo ser tratado como mentiroso?",Eresekyîpe îuraragûaîa abá supé i motĩamo nhe'engabamo serekóuká?,"Ereîanga'ope abá supé, i mokûá, i moŷrõmo?",Eresekyîpe îuraragûaîa abá supé i motĩamo nhe'engabamo serekóuká?
"Urdiste mentiras contra alguém, envergonhandoo?",Eresekyîpe îuraragûaîa abá supé i motĩamo?,Nde remo'emype nde rapixara resé?,Eresekyîpe îuraragûaîa abá supé i motĩamo?
"Urdiste mentiras contra alguém, desonrandoo?",Eresekyîpe îuraragûaîa abá supé i motĩbyka?,Eresekyîpe îuraragûaîa abá supé i mosykuîa?,Eresekyîpe îuraragûaîa abá supé i motĩbyka?
Urdiste mentiras contra alguém?,Eresekyîpe îuraragûaîa abá supé?,Eresekyîpe îuraragûaîa abá supé?,Eresekyîpe îuraragûaîa abá supé?
Urdiste mentiras contra alguém?,Eresekyîpe îuraragûaîa abá supé?,Eresekyîpe îuraragûaîa abá supé?,Eresekyîpe îuraragûaîa abá supé?
Já saíste da grande escuridão,Eresem ymã putunusu suí,Eresem ymã putunusu suí,Eresem ymã putunusu suí
Quiseste muito ouvir difamações que alguém profere?,Eresendupotákatupe terapûanaíba abá remimombe'u?,Ereîpotápe nde renõîndara rendupa?,Eresendupotákatupe terapûanaíba abá remimombe'u?
Invocaste a Deus em vão ao mentires?,Eresenõî tenhẽpe Tupã nde îuraragûaîtápe?,Eresenõî tenhẽpe Tupã nde îeruresaba resé?,Eresenõî tenhẽpe Tupã nde îuraragûaîtápe?
"Invocaste em vão o nome de Deus, mentindo, sabendo ser mentira?","Eresenõî tenhẽpe Tupã rera, nde îuraragûaîamo nhẽ, îuraragûaîamo sekó kuapa?","Eresenõî tenhẽpe Tupã rera, nde îeruresûaramo nhẽ, nde îuraragûaîamo sekó kuapa?","Eresenõî tenhẽpe Tupã rera, nde îuraragûaîamo nhẽ, îuraragûaîamo sekó kuapa?"
Toleraste o desejo sensual em direção a ti?,Eresepîakĩpe îopotara nde kotype?,Eresepîakĩpe nde 'anga potá?,Eresepîakĩpe îopotara nde kotype?
Queres sair em vão de debaixo de nossas mãos,Eresẽpotá tenhẽ oré pó gûyra suí,Eresẽpotá oré pó gûyrybo,Eresẽpotá tenhẽ oré pó gûyra suí
Pagaste já o objeto de teu furto?,Eresepyme'eng ygûãpe nde mondasagûera?,Ereîmoîebyrype nde remimombe'upûera?,Eresepyme'eng ygûãpe nde mondasagûera?
Pagaste aquilo que tu usaste?,Eresepyme'engype nde remiporupûera?,Eresepyme'engype nde remimokanhẽagûera?,Eresepyme'engype nde remiporupûera?
Fizeste chegar o pagamento como retribuição de um trabalho?,Eresepymondykype marãtekó repyramo?,Eresepyme'engype marãtekó repyramo?,Eresepymondykype marãtekó repyramo?
Vais neste dia,Eresó kó 'ara ri,Eresó kó 'ara ri,Eresó kó 'ara ri
Vais definitivamente,Eresó nhẽ peũî,Nde îepi i îukapyramo,Eresó nhẽ peũî
Eis que vais Vais (agora),Eresó ûĩ,Eresó ûĩ,Eresó ûĩ
"Vais, neste dia","Eresó, kó 'ara ri",Ereîkó kori,"Eresó, kó 'ara ri"
"Foste para revistar as cisternas de água doce de alguém, tomando seu conteúdo?","Eresópe abá îeky'ye'ẽ supa, i pora rá?","Eresópe abá 'ykaraíba ma'e amõ supa, i pupé i moîebyû?","Eresópe abá îeky'ye'ẽ supa, i pora rá?"
"Foste para revistar os covos de água doce de alguém, tomando seu conteúdo?","Eresópe abá îeky'ye'ẽ supa, i pora rá?","Eresópe abá 'y gûabo, i pupé seni?","Eresópe abá îeky'ye'ẽ supa, i pora rá?"
Desvirginaste alguma menina?,Eresugûykápe kunhataĩ amõ?,Ereîepe'ape kunhataĩ amõ suí?,Ereîmombukype kunhataĩ amõ?
Desvirginaste alguma menina? Segundo tua vontade ou ela resistiu completamente?,Eresugûykápe kunhataĩ amõ? Semimotara rupipe koîpó i popyatãmbápe?,Ereîepe'ape kunhã suí nde remimotarybo koîpó ereropûar ybŷá sesé?,Eresugûykápe kunhataĩ amõ? Semimotara rupipe koîpó i popyatãmbápe?
Apalpaste teu ventre para matar teu filho?,Eresungápe nde rygé nde membyra îukábo?,Eresungápe nde 'anga nde membyra re'õ resé?,Eresungápe nde rygé nde membyra îukábo?
"Invocaste o Anhanga, o Taguaíba, o Curupira, o Jurupari ou a morte para alguém?","Eresykyîpe Anhanga, Tagûaíba, Kurupira, Îurupari koîpó te'õ abá supé?","Eresykyîpe Anhanga, Tagûaíba, Kurupira, Îurupari koîpó te'õ abá supé?","Eresykyîpe Anhanga, Tagûaíba, Kurupira, Îurupari koîpó te'õ abá supé?"
Comeste objeto de furto de alguém?,Ere'upe abá mondarõagûera?,Ere'upe abá mba'eagûera?,Ere'upe abá mondarõagûera?
Comeste carne no tempo de não a comer?,Ere'upe so'o i gûabe'yma pupé?,Ere'upe so'o i gûabe'yma?,Ere'upe so'o i gûabe'yma pupé?
"Comeste carne de caça, tendo farinha?",Ere'upe so'o u'i rerekóbo nhẽpe?,"Ere'upe gûyrá, oîo'u bépe avati?",Ere'upe so'o u'i rerekóbo nhẽpe?
Comeste terra?,Ere'upe yby?,Ere'upe yby?,Ere'upe yby?
maldição! (interj),eri!,I abaetékatu kó!,eri!
"Que nada! Vou vencêlos, como sempre",Erĩ! Aîmoaûîé îandune,"Aîkó pá i îabé, xe rekópysasu",Erĩ! Aîmoaûîé îandune
"Ah! Na verdade hei de me enfeitar, pintandome de preto",Erĩ! Aûîetépakó aîegûak ûinhemoúna,Aûîeté pakó aîegûak ûiîemoúna,Erĩ! Aûîetépakó aîegûak ûinhemoúna
Ai! Queimame Deus!,Erĩ! Xe rapy Tupã!,Tupã t'okaî!,Erĩ! Xe rapy Tupã!
"Ah, muito bem!","Erĩ, aûîé!","Té, aûîé nipó!","Erĩ, aûîé!"
"Ah, muito bem, ficai tranquilos!","Erĩ, aûîé, peputu'u!","Erĩ, aûîé! Teumẽ, pe apysykatu!","Erĩ, aûîé, peputu'u!"
"Ah, não estamos acovardados!","Erĩ, nd'oré abangabi!",Asé suí asé na sykyî xûétemo!,"Erĩ, nd'oré abangabi!"
"Irra, gambá!","Erĩ, sarigûeîa é!","Eîmonhang, sarigûeîa é!","Erĩ, sarigûeîa é!"
outrora,erimba'e,erimba'endûarûera,erimba'e
"Futuramente, com certeza, a inimiga de minha alma há de bater em minha porta",Erimba'e ipó xe 'anga robaîara xe rokena moîapuûne re'a,"Eîori, ipó, xe 'anga suí i aoba'e ruri xe rokena motaka turagûama resé",Erimba'e ipó xe 'anga robaîara xe rokena moîapuûne re'a
"Eu sou o que é antigo, o de tempos atrás",Erimba'endûarûera ixé,Erimba'endûarûera ixé,Erimba'endûarûera ixé
Quando cumprirás isso que tu dizes?,Erimba'epe aîpó nde 'îaba ereîmopóne?,Erimba'epe aîpó nde 'îaba ereîkó?,Erimba'epe aîpó nde 'îaba ereîmopóne?
Quando cumprirás isso que dizes?,Erimba'epe aîpó nde 'îaba ereîmopóne?,Erimba'epe aîpó nde 'îaba ereîmopóne?,Erimba'epe aîpó nde 'îaba ereîmopóne?
Quando foi para visitála?,Erimba'epe i xóû i xupa?,Erimba'epe i xóû i xupa?,Erimba'epe i xóû i xupa?
Quando foi para visitála? Por ocasião da gravidez de seu filho São João,Erimba'epe i xóû i xupa? I membyra São João rurureme,Erimba'epe i xóû i xupa? I membyra São João o puru'aramo?,Erimba'epe i xóû i xupa? I membyra São João rurureme
Quando o proferiu?,Erimba'epe sa'angi?,Erimba'epe aîpó i 'éû?,Erimba'epe sa'angi?
detestar,ero9rõ; amotare'ym,iî abaíb,ero9rõ; amotare'ym
converter,erobak,moakasãi,erobak
Volta em nossa direção teus olhos compadecedores,Erobak oré koty nde resáporaûsubara,Erobak oré koty nde resáporaûsubara,Erobak oré koty nde resáporaûsubara
"Acredita, meu padrinho, hão de te apresar hoje","Erobîá, xe rubangab, ta nde moembiá kori","Eîerobîá xe îara, kori i moarûapa","Erobîá, xe rubangab, ta nde moembiá kori"
"Acredita, meu padrinho, hão de te apresar hoje","Erobîá, xe rubangaba, ta nde moembiá kori","Eîerobîá xe îara, kori i moarûapa","Erobîá, xe rubangab, ta nde moembiá kori"
acreditar (em),erobiar,rerobîara,erobiar
crer (em),erobiar,rerobîara,erobiar
lamentar,eroiase'o; apirõ (s),angekoam,eroiase'o; apirõ (s)
repetir,eroiebyr; momokõi,Akasang,eroiebyr; momokõi
Descarregaa a ele,Eroîyb ahẽ supé,Aîpytasãmoín,Eroîyb ahẽ supé
Fica com teus suditozinhos junto de nós,Eropytá nde boîá'ĩ orébo,Eké nde resa'y abé orébo,Eropytá nde boîá'ĩ orébo
desprezar,erorrõ,momburu,erorrõ
Traze os habitantes do Paraíba para aumentar nossa terra,Eru Paraibygûara oré retama irumõmo,Eru Paraibygûara oré retama mopyatãgûama resé,Eru Paraibygûara oré retama irumõmo
Traze peixe para que o coma,Eru pirá t'a'une,Eru pirá t'a'une,Eru pirá t'a'une
"acarretar, acarrear",eruerur,moiasuk,eruerur
trazer,erur,erur,erur
Traze água para mim,Erur 'y ixébe,Erur 'y ixébe,Erur 'y ixébe
"Ora, experimentao",Esa'ang ra'u,Îori sa'anga rõ,Esa'ang ra'u
Pronunciao bem,Esa'ãngatu,Aîpó eré supikatu,Esa'ãngatu
Prova que o levas!,Esa'angyne serasóbo,Esa'angyne serasóbo,Esa'angyne serasóbo
dito (o que alguém diz),esaba; 'iaba (v 'i/ 'é) diversos,kuaukar,esaba; 'iaba (v 'i/ 'é) diversos
tonto,"esagiiyryb/a (r, s)",arybondûara,"esagiiyryb/a (r, s)"
alegre,esãi,"toryba, torypaba",esãi
carrancudo,esakfiarasy ,apara; banga; apena tosar,esakfiarasy 
iluminar,esapé (s); moendy,esapé (s); moendy,esapé (s); moendy
Tosta alguma farinha,Esapek u'i amõ,Îatyrátyrá,Esapek u'i amõ
"Tu, ao contrário, obedece a ele!",Esapîáte!,Esapîáte!,Esapîáte!
cedo,esapy'a,anhe,esapy'a
Guarda nossa terra de nossos inimigos,Esarõ oré retama oré sumarã suí,Esarõ oré retama oré sumarã suí,Esarõ oré retama oré sumarã suí
Atiça o fogo para o que cozinhas,Esatapy nde remimõîa,Esatapy nde remimonhangûera,Esatapy nde remimõîa
Não o deixes afastar daqui minha morada,Eseîyîukar umẽ iké suí xe retama,Eseîyîukar umẽ xe roka,Eseîyîukar umẽ iké suí xe retama
Puxao rijamente!,Esekyîatã!,Epu'ã!,Esekyîatã!
abarrotar,esemõ,moebykatã,esemõ
preencher,esemõ (s); mopor,esemõ (s); mopor,esemõ (s); mopor
Ouve,Esendu,Esendu,Esendu
Nomeia tudo,Esenõî mbá,Esenõî mbá,Esenõî mbá
Nomeia os muitos designativos de teu corpo para mim,Esenõî nde reté renõîndabetá ixébe,Eîerok ta xe reté nde reté,Esenõî nde reté renõîndabetá ixébe
"Atacao, Sarauaia!","Esepenhan, Saraûaî!","Epu'ã, Saraûaî!","Esepenhan, Saraûaî!"
Vê tu a variedade de coisas,Esepîak tekó paraba,Esepîak tekó paraba,Esepîak tekó paraba
Vê minha doença para que te compadeças de minha alma,Esepîak xe mara'ara t'eresaûsubar xe 'anga,"Esepîak xe mara'ara, xe poraûsubara",Esepîak xe mara'ara t'eresaûsubar xe 'anga
Vê bem a tua frente para que não te percas no caminho do céu,Esepîákatu nde renonderama ybaka piarype nde ropare'ymamo,Esepîákatu nde rapupa'ũ ybaka piarype nde ropare'ymamo,Esepîákatu nde renonderama ybaka piarype nde ropare'ymamo
Vê bem a tua frente para que não te percas no caminho do céu,Esepîákatu nde renonderama ybaka pîarype nde ropare'ymamo,Esepîákatu nde rapupa'ũ ybaka piarype nde ropare'ymamo,Esepîákatu nde renonderama ybaka piarype nde ropare'ymamo
Ilumina hoje os olhos de minha alma,Esesapé kori xe 'anga resá,Arobyk kori xe 'anga resá,Esesapé kori xe 'anga resá
Abre a porta de tua casa,Esokendabok nde roka,Esokendabok nde roka,Esokendabok nde roka
os dons do Espírito Santo,Espírito Santo remime'enga,Espírito Santo mba'eeté,Espírito Santo remime'enga
"Tendo medo, farias bem","Esykyîébomo, ereîkókatumo","Esykyîébomo, ereîkó","Esykyîébomo, ereîkókatumo"
assar,esyr,(tr): mobok; (intr): pok,esyr
aparar,etab,(intr): puk; (tr): mobok,etab
autêntico,eté ,eté ,eté 
legítimo,"eté (r, s)",eté ,"eté (r, s)"
verdadeiramente,"eté (r, s); upindíiara (r, s) verdadeiro",nhe,"eté (r, s); upindíiara (r, s) verdadeiro"
muito (adv),eté; tekatu; katutenhé muitos,katupabé,eté; tekatu; katutenhé muitos
Evita ir,Eteumẽ esóbo,Eîpotare'ymumẽ,Eteumẽ esóbo
"Guardate, hoje, de ter guerra comigo",Eteumẽ kori marana rerekóbo xe resé,Eseîyî kori bé xe rarõmo,Eteumẽ kori marana rerekóbo xe resé
"Guardate, após conhecer essa lei, de ter má vida","Eteumẽ, aîpó tekó kuab'iré, tekópoxy rerekóbo","Eteumẽ, aîpó tekó kuapa, nde rekopoxy suí","Eteumẽ, aîpó tekó kuab'iré, tekópoxy rerekóbo"
Envergonhate de ti mesmo,Etĩ nde îosuí,Nde nhe'ẽkurukuruk,Etĩ nde îosuí
"Roga a Deus por nós, os que somos pecadores",Etupãmongetá oré i angaîpaba'e resé,Eresabe'ẽ oré i angaîpaba'e resé,Etupãmongetá oré i angaîpaba'e resé
arrotar,eú,(intr): puk; (tr): mobok,eú
Toma um só trago,E'u oîepé îuru nhote,Eîmoingobé amõ,E'u oîepé îuru nhote
Eu tenho papo grande,eu tenho papo Xe aîusu,Xe nhe'engatã,eu tenho papo Xe aîusu
Não comas este fruto que me é reservado,E'u umẽ ikó 'ybá xe rekoate'ỹmbaba,E'u umẽ ikó 'ybá xe resé i monhangymbyra,E'u umẽ ikó 'ybá xe rekoate'ỹmbaba
Não comas este fruto,E'u ymẽ ikó 'ybá,E'u ymẽ ikó 'ybá,E'u ymẽ ikó 'ybá
arroto fétido,eúrema,pytuba,eúrema
"Eva atraiuse muito pelo belo fruto, colhendoo",Eva onhemomotareté 'ybáporanga resé iî ykyébo,Eva onhemosaînaneté 'ybáporanga resé iî ykyébo,Eva onhemomotareté 'ybáporanga resé iî ykyébo
"Eva, nossa mãe primeira, atraiuse muito pelo belo fruto","Eva, îandé syypy, onhemomotareté 'ybáporanga resé","Eva, îandé syypy, onhemosaînãngatu 'ybáporanga resé","Eva, îandé syypy, onhemomotareté 'ybáporanga resé"
"Eva, nossa mãe primeira, atraiuse muito pelo belo fruto, de acordo com a palavra da serpente","Eva, îandé syypy, onhemomotareté 'ybáporanga resé, mboîa nhe'enga rupi","Eva, îandé syypy, onhemosaînãngatu 'ybáporanga resé, mboîa nhe'enga rupi","Eva, îandé syypy, onhemomotareté 'ybáporanga resé, mboîa nhe'enga rupi"
numerosos,"e'yf/a (r, s); etá (r, s); ypyó nunca",ka'apílanama,"e'yf/a (r, s); etá (r, s); ypyó nunca"
coçar,e'yi (s),andub,e'yi (s)
recolher,eynhang (s),monhopa'ümondoar; moioparab; mopa'ü,eynhang (s)
